"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 구로구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202102","6","73,000","4","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202102","27","91,000","17","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202103","1","76,500","23","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202103","2","88,000","23","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202103","3","88,000","19","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202103","8","73,000","18","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","59.57","202103","13","74,000","4","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202103","18","83,000","6","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","84.57","202103","23","84,000","3","1999","경인로 382",""
"서울특별시 구로구 개봉동","476","0476","0000","한마을","123.46","202103","25","91,500","24","1999","경인로 382",""
